WorkerID,CurrentCompany,CurrentRole,IsTempProfile,WorkerJobSearchStatus,ConnectionPipelineStatus,ProfileAddedAt,ProfileAddedBy,TalentCommunitySource,TalentPoolCount,StarRating,State,Country,Economic Region,Population (2020),Coastline(WRI)(km),Coast/Area Ratio (WRI) (m/km2),Happiness Report,GWP Per Capita (2020),City,Postcode,RecruiterMessage,WorkerMessage,TotalResponseRate,LastCommunicatedAt,LastCommunicatedBy,CvStrength,ExperienceYears,Company
4510936,,,TRUE,,Community,4/7/2021 13:14,Christina von Carben,,,OneStarReview,,France,EMEA,"65.273.511,00","7.330,00","11,40","6,592","39.030,36",,,1,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4633827,,,TRUE,,Talent Pool,5/20/2021 17:25,Christina von Carben,,1,TwoStarReview,RI,United States,NA,"331.002.651,00","133.312,00","14,60","6,892","63.593,44",Newport,,1,,0,6/6/2022 13:43,christina@myachts.team,45,,myCrew
3643456,L'VOYAGE,Business Development Manager,TRUE,,Talent Pool,11/17/2020 9:52,Carol Lam,Talent Pool,3,OneStarReview,,Hong Kong,APAC,"7.413.000,00","955,00","890,00","5,43","49.660,00",,,1,,0,6/6/2022 13:28,christina@myachts.team,55,7,myCrew
3643170,,Sous chef,TRUE,,Hired,11/17/2020 9:43,Carol Lam,Manually Added,,TwoStarReview,,Hong Kong,APAC,"7.413.000,00","955,00","890,00","5,43","49.660,00","Tsuen Wan, Hong_ Kong",,3,,0,6/6/2022 13:28,christina@myachts.team,60,7,myCrew
3642368,,Head of Fresh,TRUE,,Talent Pool,11/17/2020 9:16,Carol Lam,Manually Added,2,FourStarReview,,Hong Kong,APAC,"7.413.000,00","955,00","890,00","5,43","49.660,00",Hong Kong,,3,2,666.666.667,6/6/2022 13:46,christina@myachts.team,50,14,myCrew
4103614,,,FALSE,,Talent Pool,11/17/2020 9:32,Carol Lam,Manually Added,1,FourStarReview,OH,United States,NA,"331.002.651,00","133.312,00","14,60","6,892","63.593,44",Cincinnati,45246,1,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
7513042,McDonalds,Shiftlead,FALSE,Open to Offers,Community,,,Careers Website,,FiveStarReview,,,,,,,,,,,,,,,,35,1,myCrew
7507398,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
7505768,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,25,,myCrew
7447356,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,35,,myCrew
7410513,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,25,,myCrew
7388109,,,FALSE,,Community,,,mt.linkedin.com,,OneStarReview,,,,,,,,,,,,,,,,25,,myCrew
7383571,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,35,,myCrew
7381593,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
7351072,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
7326635,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,35,,myCrew
7310633,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,25,,myCrew
7304012,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,35,,myCrew
7287342,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,35,,myCrew
7281318,,,FALSE,,Community,,,Careers Website,,#N/A,,,,,,,,,,,,,,,,25,,myCrew
7273209,,,FALSE,,Community,,,my-crew.com,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
7273137,,,FALSE,,Community,,,mt.linkedin.com,,FourStarReview,,,,,,,,,,,,,,,,25,,myCrew
7218467,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,25,,myCrew
7217728,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
7205067,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,25,,myCrew
7185422,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,,,,,,25,,myCrew
7171074,,,FALSE,,Community,,,Careers Website,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
7160678,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
7144462,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,25,,myCrew
7137615,,,FALSE,,Community,,,my-crew.com,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
7093241,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,25,,myCrew
7089043,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,35,,myCrew
7083031,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
7029592,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
7001994,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
6995401,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
6983716,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,25,,myCrew
6962755,,,FALSE,,Community,,,Indeed,,OneStarReview,,,,,,,,,,,,,,,,25,,myCrew
6958953,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,35,,myCrew
6932712,Qatar Airways,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,45,1,myCrew
6932519,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,25,,myCrew
6920256,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,35,,myCrew
6897056,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,35,,myCrew
6892911,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,25,,myCrew
6886180,,,FALSE,,Community,,,Careers Website,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
6872412,,,FALSE,,Community,,,Indeed,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
6855102,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,25,,myCrew
6836269,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,35,,myCrew
6836002,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
6834116,Lemeridien Abu Dhabi,Jr sous chef,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,45,9,myCrew
6824501,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,,,,,,35,,myCrew
6809414,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,25,,myCrew
6781046,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,25,,myCrew
6776847,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,25,,myCrew
6735309,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,25,,myCrew
6711052,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,25,,myCrew
6679990,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,35,,myCrew
6675465,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,25,,myCrew
6673857,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,,,,,,25,,myCrew
6667588,M/Y AILISH V,MATE/DECKHAND,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,,,,,,50,9,myCrew
6660716,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,25,,myCrew
6645322,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,,,,,,35,,myCrew
6633140,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,25,,myCrew
6621363,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,35,,myCrew
6614553,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6609545,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6597865,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6595217,,,FALSE,,Community,,,Google,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6593604,Publicity Agent & Photo Model,Freelance,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,40,,myCrew
6576615,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6548732,,,FALSE,,Community,,,Careers Website,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6509894,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6506036,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6502689,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6501628,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6496511,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6490625,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6475495,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6474388,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,35,,myCrew
6471333,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6460889,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6451483,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:28,christina@myachts.team,25,,myCrew
6410428,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
6408066,,,FALSE,,Community,,,Google,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
6381974,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
6381497,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
6366820,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
6273892,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,25,,myCrew
6181522,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
6109166,,,FALSE,,Talent Pool,,,Facebook,2,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
6093618,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5898737,,,FALSE,,Community,,,Indeed,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5866607,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5786669,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5770020,,,FALSE,,Community,,,Careers Website,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5769155,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
5764578,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5731727,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:35,christina@myachts.team,35,,myCrew
5729381,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5620218,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5605783,hospital jose molina orosa,nurse,FALSE,Open to Offers,Community,,,Careers Website,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:35,christina@myachts.team,40,19,myCrew
5598608,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5530573,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5281280,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5075221,Sailing Yacht Ubibene,,FALSE,,Talent Pool,,,LinkedIn,1,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:17,christina@myachts.team,65,21,myCrew
5072804,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
5047274,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5024007,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,3,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
5009358,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
5002784,,,FALSE,,Community,,,Careers Website,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,25,,myCrew
4998413,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,3,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4988362,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
4988099,,,FALSE,,Community,,,hr.linkedin.com,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4985310,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4984102,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:35,christina@myachts.team,35,,myCrew
4975451,,,FALSE,,Community,,,Careers Website,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4955293,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4920209,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4919885,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4908555,,"Chef, Steward",FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,4,1,0.25,6/6/2022 13:39,christina@myachts.team,50,8,myCrew
4888472,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4876981,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,3,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4876817,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4871398,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4871019,,,FALSE,,Community,,,Careers Website,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4869583,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4868822,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
4867886,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4859685,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,6/6/2022 13:46,christina@myachts.team,10,,myCrew
4850242,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,3,,0,6/6/2022 13:46,christina@myachts.team,0,,myCrew
4845574,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,25,,myCrew
4844488,,,FALSE,,Community,,,it.linkedin.com,,OneStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4837400,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4834994,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4834836,,,FALSE,,Community,,,Careers Website,,OneStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,35,,myCrew
4830739,,HR Manager,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,1,,0,6/6/2022 13:17,christina@myachts.team,60,27,myCrew
4829237,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,1,,0,6/6/2022 13:39,christina@myachts.team,35,,myCrew
4826794,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4825538,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4822355,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4822252,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4812687,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,4,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4793388,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4780846,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4776926,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4768889,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4753915,,,FALSE,,Community,,,Careers Website,,OneStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4747461,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4744561,,,FALSE,,Community,,,,,OneStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4744352,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,2,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
4743328,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4732692,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4730402,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4730249,,,FALSE,,Community,,,hr.linkedin.com,,ThreeStarReview,,,,,,,,,,,3,,0,6/6/2022 13:39,christina@myachts.team,35,,myCrew
4729160,,,FALSE,,Community,,,LinkedIn,,FiveStarReview,,,,,,,,,,,3,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4726380,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,10,,myCrew
4723171,,,FALSE,,Community,,,hr.linkedin.com,,FiveStarReview,,,,,,,,,,,2,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4703530,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,1,,0,7/16/2021 12:35,christina@myachts.team,10,,myCrew
4702011,,,FALSE,,Community,,,LinkedIn,,OneStarReview,,,,,,,,,,,1,,0,7/16/2021 11:43,christina@myachts.team,10,,myCrew
4701684,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,1,,0,7/1/2021 08:49,christina@myachts.team,10,,myCrew
4696556,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,10,,myCrew
4692903,,,FALSE,,Community,,,Careers Website,,OneStarReview,,,,,,,,,,,,,,,,0,,myCrew
4691469,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,,,,,,10,,myCrew
4689669,,,FALSE,,Community,,,LinkedIn,,ThreeStarReview,,,,,,,,,,,2,,0,7/16/2021 12:02,christina@myachts.team,10,,myCrew
4688945,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,,,,,,0,,myCrew
4685701,,,FALSE,,Community,,,Careers Website,,FiveStarReview,,,,,,,,,,,1,,0,6/11/2021 12:24,christina@myachts.team,25,,myCrew
4681829,,,FALSE,,Community,,,LinkedIn,,FourStarReview,,,,,,,,,,,2,,0,10/6/2021 08:38,christina@myachts.team,10,,myCrew
4674622,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,2,,0,10/8/2021 07:18,christina@myachts.team,10,,myCrew
4674075,,,FALSE,,Community,,,LinkedIn,,TwoStarReview,,,,,,,,,,,,,,,,10,,myCrew
4672113,,,FALSE,,Community,,,Careers Website,,TwoStarReview,,,,,,,,,,,,,,,,10,,myCrew
